SiteID,Below_Capacity,Over_Capacity,Min_IQR_Upper_Bound_Value,Max_Value_95Perc,Average_Rate_Of_Change,Unusual_Change_90th_Perc.,MaxRoC,Unusual_Spike,Repeated_values,Unnamed: 10
2786,0.0,62.3,62.3,168.462017,3.102269621,11.22369184,1064.771345,11.22369184,4,
2787,0.0,15007.9,21496.575,15007.9,595.0090941,185.3,1488990.0,185.3,4,
2823,0.0,162.3,162.3,387.1999842,6.933371569,34.025,1088.0,34.025,4,
2850,0.0,61.0,76.25494475,61.0,1.151439545,5.9,57.7,5.9,4,
2851,0.0,89.0,115.25,89.0,1.814645513,9.835,105.2,9.835,4,
2852,0.0,12.0,14.1312755,12.0,0.281187702,1.5,14.7,1.5,4,
2853,0.0,39.5,45.541625,39.5,1.101086609,5.308,135.0,5.308,4,
2854,0.0,100.0,156.7347958,100.0,1.7863239,8.5,817.0,8.5,4,
2855,0.0,344.0,545.332,344.0,7.998576989,36.23835,626.0,36.23835,4,
2856,0.0,193.6,306.65,193.6,4.244004858,20.69,225.0,20.69,4,
2857,0.0,56.0,92.39,56.0,1.168558965,6.0,67.8,6.0,4,
2858,0.0,60.322066,77.75,60.322066,1.495200962,7.708,70.0,7.708,4,
2859,0.0,34.6,43.95,34.6,1.007818823,5.0,52.0,5.0,4,
2861,0.0,231.0,305.3,231.0,6.258624857,31.8,282.04,31.8,4,
2885,0.0,15.54525914,15.54525914,19.0,0.774889413,3.285,75.8,3.285,4,
2893,0.0,2.68,3.505,2.68,0.438459167,0.27,1550.448,0.27,4,
2896,0.0,2.73,3.22771025,2.73,0.037749077,0.13,3.47,0.13,4,
2907,0.0,108700.0,140724.5625,108700.0,542.359003,1080.0,560640.0,1080.0,4,
2920,0.0,162.5,249.25,162.5,3.484472952,19.0950095,952.3,19.0950095,4,
2991,0.0,2.625,2.625,3.0,0.044932073,0.25,8.0,0.25,4,
2993,0.0,10.0,12.5,10.0,0.388731411,2.0566,26.4,2.0566,4,
2994,0.0,105.92,129.165,105.92,2.955907292,12.9985,132.59,12.9985,4,
2995,0.0,37.49913,37.49913,53.69,1.585245564,8.85,77.98,8.85,4,
3025,0.0,2.443891304,3.166745,2.443891304,0.150559683,0.59436087,20.16667,0.59436087,4,
3026,0.0,317.975,317.975,523.028,13.4994677,67.418,1954.0,67.418,4,
3028,0.0,62345.2,72259.0,62345.2,1498.620201,1866.85,47440.0,1866.85,4,
3034,0.0,5.041666678,6.354657609,5.041666678,0.237608013,1.00833,40.58542,1.00833,4,
3041,0.0,21.2125,21.2125,50.0,1.174630852,7.0,49.0,7.0,4,
3061,0.0,4.91,6.0,4.91,0.148114204,0.9,12.53,0.9,4,
3063,0.0,32.0,42.025,32.0,0.547653846,2.97,38.86,2.97,4,
3064,0.0,49.726,61.5,49.726,1.494375017,8.981,61.0,8.981,4,
3072,0.0,43.5,43.5,57.0,0.78685911,4.0,71.0,4.0,4,
3127,0.0,8.14,8.14,10.0,0.174956375,1.0,20.0,1.0,4,
3129,0.0,142.0,158.21875,142.0,5.476881845,17.9825,8146.75,17.9825,4,
3131,0.0,35.0,38.5,35.0,4.559340771,5.5,19283.0,5.5,4,
3132,0.0,15.0,16.83,15.0,0.72259222,3.2,69.0,3.2,4,
3133,0.0,80.0,93.0,80.0,2.717830426,10.923,255.0,10.923,4,
3134,0.0,190.0,190.0,280.7,21.01658034,57.8,37683.0,57.8,4,
3138,0.0,60.0,65.25,60.0,1.324667062,8.56,58.1,8.56,4,
3142,0.0,5.0,6.24,5.0,0.285696295,1.5,11.84672322,1.5,4,
3143,0.0,3.12,4.31,3.12,0.137964007,0.9,5.0,0.9,4,
3145,0.0,30.0,34.75,30.0,0.730972743,4.68,32.0,4.68,4,
3146,0.0,1.69,1.69,1.7,0.115787552,1.0,1.8,1.0,4,
3148,0.0,1.5,1.5,2.0,0.026997244,0.03699227,1.9,0.03699227,4,
3156,0.0,22.40986956,22.40986956,24.0,0.583817282,3.249643115,33.0,3.249643115,4,
3158,0.0,4.8,6.23,4.8,0.313967019,1.635,6.92,1.635,4,
3160,0.0,25.90163946,30.865,25.90163946,1.407964293,5.99882653,35.08,5.99882653,4,
3161,0.0,12.52,15.855,12.52,0.567376646,2.913,93.0,2.913,4,
3242,0.0,3330.0,4871.729918,3330.0,245.7141063,133.0,300473.0,133.0,4,
3250,0.0,4.0,4.66,4.0,0.20197598,1.085259804,8.0,1.085259804,4,
3258,0.0,44.08817886,44.08817886,56.09928908,1.685022348,6.579629677,97.94399429,6.579629677,4,
3269,0.0,8.6,8.6,12.3,0.363629998,1.6515966,242.0,1.6515966,4,
3284,0.0,9870.0,13666.66306,9870.0,120.225994,417.0,9028.0,417.0,4,
3285,0.0,20.0,27.905,20.0,0.879516086,5.093814618,21.25,5.093814618,4,
3297,0.0,100.0,108.21875,100.0,3.585932836,15.0,420.01,15.0,4,
3344,0.0,30831.0,53157.0,30831.0,192.5035148,671.0,18524.0,671.0,4,
3345,0.0,73.0,73.0,266.35,4.946199615,21.0,639.0,21.0,4,
3346,0.0,283.0,561.0,283.0,351.8663211,34.0,1969807.0,34.0,4,
3355,0.0,45.8800008,45.8800008,136.63,1.170997319,1.68,437.23,1.68,4,
